yday,2011,2012,2013,2014,2015,2016,2017
153,0,1.2847222,1.2037038,1.1805556,2.0486112,0,1.1689814
154,0,1.261574,1.2037038,0.5671296,2.0601852,0,1.1689814
155,0,1.2847222,1.2037038,0.5671296,2.0717592,0,1.1689814
156,0,1.2847222,1.2037038,0.5671296,2.0486112,0.5671296,1.1921296
157,0,1.2962962,1.2037038,0.3472222,2.0486112,0.5787037,1.712963
158,0,1.7361112,1.2037038,0.33564815,1.4930556,0.6018519,1.7476852
159,4.4097223,3.3564816,1.3425926,0.3125,1.5046296,0.5787037,1.7476852
160,4.4675927,6.1689816,1.2962962,0.32407406,1.5393518,0.5787037,1.724537
161,4.3055553,2.9398148,1.2268518,0.33564815,1.5046296,0.5902778,1.724537
162,4.375,1.863426,1.261574,0.3472222,1.5046296,1.1921296,1.7476852
163,3.0439816,2.210648,1.238426,1.4467592,1.5046296,1.1921296,1.712963
164,3.0671296,2.476852,1.238426,1.5046296,1.5162038,1.2037038,1.7361112
165,4.328704,2.4305556,1.238426,1.4930556,1.5162038,1.1574074,1.712963
166,4.247685,2.4305556,1.2268518,1.4814814,1.5046296,1.2268518,1.712963
167,4.247685,1.8055556,1.261574,1.3888888,1.4930556,1.724537,1.712963
168,4.259259,1.6087962,1.238426,0.9375,1.5046296,1.7361112,1.6782408
169,1.4583334,1.574074,1.238426,0.9143519,1.5046296,1.724537,1.7013888
170,1.1805556,1.574074,1.25,1.3078704,1.4814814,1.6898148,1.7361112
171,1.1689814,1.5972222,1.25,0.9490741,1.4930556,1.7361112,1.6898148
172,1.1689814,1.5856482,1.238426,1.4563657,1.5046296,1.7708334,1.7013888
173,1.1805556,1.5277778,1.2037038,4.664352,1.5277778,1.7361112,1.6898148
174,1.1921296,0,1.2731482,1.7708334,1.5046296,1.3541666,1.6898148
175,1.1921296,0,1.261574,1.0300926,0,0.3125,1.6666666
176,0.12731482,0,1.25,0.4050926,2.0833333,0,1.6898148
177,0,1.1805556,1.953125,0.8217593,2.0949075,0.5208333,1.724537
178,0,1.3888888,2.4305556,0.5902778,2.0833333,0.5902778,1.6898148
179,0,1.3078704,3.1944444,0.5902778,2.0949075,0.5787037,1.7013888
180,0,1.3078704,3.0902777,0,2.0833333,0.5787037,1.7013888
181,0,1.3194444,2.9629629,0,2.0949075,1.1574074,1.7013888
182,0,1.3078704,3.0439816,0.7175926,2.0833333,1.1689814,1.6666666
183,0,1.2731482,3.9120371,0.9259259,2.0833333,1.7592592,1.6898148
184,0,1.3541666,3.8310184,0.9375,2.0833333,1.7476852,1.724537
185,0,1.3194444,4.247685,0.9259259,2.0833333,1.7592592,1.6898148
186,0,1.3310186,3.5763888,0.9259259,2.2337964,2.3495371,1.6898148
187,0,1.5972222,2.2453704,0.9259259,2.0833333,0.5439815,1.7013888
188,0,1.5972222,2.2800925,0.9490741,2.0717592,0.37037036,1.7361112
189,0,1.5625,2.3495371,0.9375,2.0717592,0,1.7476852
190,0,1.6203704,2.3379629,0.9375,1.5162038,0,1.7476852
191,0,1.6203704,1.7476852,0.12731482,1.5277778,0,1.7708334
192,0,2.2685184,1.412037,0,1.4814814,0,1.7476852
193,0,2.1064816,1.5393518,0,1.1458334,0,1.7476852
194,3.7152777,2.1527777,1.5162038,0,0.9606481,0,1.7824074
195,2.7083333,1.8518518,1.5162038,0,0.9375,0,1.7476852
196,2.3842592,1.7824074,1.5856482,0.5555556,0.9490741,0.5787037,1.7476852
197,2.3379629,1.8402778,1.4699074,0.5787037,0.9490741,1.7361112,1.7476852
198,2.3611112,1.2731482,1.4814814,0.5902778,0.9606481,1.7361112,1.7824074
199,1.238426,1.2268518,1.4699074,0,0.9490741,1.7476852,1.1805556
200,1.2152778,1.6898148,0.32407406,0,0.9722222,1.7708334,0.53043985
201,1.8055556,1.574074,0,0,0.9606481,2.3263888,0.5787037
202,1.8171296,1.5856482,0,0,0.9722222,2.3263888,0.6018519
203,0.7407407,1.4467592,0,0,1.5046296,2.3263888,1.1458334
204,0.9722222,1.5856482,0,0,1.5277778,2.3379629,1.1574074
205,1.25,1.5972222,0,0.5902778,1.2037038,2.3032408,1.1689814
206,1.238426,1.5856482,0,0.06944445,1.4814814,1.1689814,1.1689814
207,1.25,1.574074,1.5972222,0,1.5162038,0.20833333,1.1805556
208,1.238426,1.5856482,1.5625,0,1.5625,0,1.1458334
209,1.25,0.046296295,1.5972222,0,1.5393518,0,1.1689814
210,1.25,0,1.5856482,5.5671296,2.0949075,0,1.1574074
211,1.2268518,0,1.5972222,5.787037,2.1180556,0,1.1805556
212,1.238426,0,1.5856482,6.921296,2.0833333,0,1.1574074
213,1.2731482,1.7592592,2.2453704,2.6273148,2.164352,0,1.2037038
214,1.238426,1.5856482,2.175926,0,2.0486112,0,1.1805556
215,1.238426,1.5046296,2.1296296,0,2.1296296,0,1.1805556
216,1.25,1.4699074,2.164352,5.625,1.7476852,1.0069444,0.5787037
217,1.238426,1.4699074,2.2337964,4.201389,1.5162038,1.1574074,0.5787037
218,0.18518518,1.4930556,2.1875,2.6157408,1.5162038,1.1689814,0
