Date,Pptn,Temp,Wind_speed,PET,Q,TP_catch,chl-a_lake,TP_lake,colour_lake,CyanoBiovol,Rain_day,Pptn_intense,Wind_under_Q0.2,Wind_under_Q0.4,Wind_over_Q0.6,Wind_over_Q0.8,Temp_subzero,Season,Pptn_lag1,Temp_lag1,Wind_speed_lag1,PET_lag1,Q_lag1,Rain_day_lag1,Pptn_intense_lag1,Wind_under_Q0.2_lag1,Wind_under_Q0.4_lag1,Wind_over_Q0.6_lag1,Wind_over_Q0.8_lag1,TP_lake_prevSummer,colour_lake_prevSummer,chl-a_lake_prevSummer,Temp_prevSummer,CyanoBiovol_prevSummer
1993-10-31,411.85416266884135,11.735726791289252,2.344715164785403,492.89150481499996,0.36521280000000006,42.07619047619047,12.614285714285716,27.3,24.428571428571427,,71.0,10.0,40.0,83.0,60.0,22.0,3.0,summ,350.55547851898933,1.5168669429444688,3.0830980001246675,55.850663993000005,,51.0,9.0,35.0,67.0,93.0,62.0,31.342857142857145,21.285714285714285,16.757142857142856,13.083738333765869,
1994-04-30,454.53555645228965,-1.3816776240644928,2.8477884937398565,45.62200732200001,83.23395839999996,72.34285714285714,,,,,68.0,17.0,28.0,62.0,84.0,51.0,94.0,wint,411.85416266884135,11.735726791289252,2.344715164785403,492.89150481499996,0.36521280000000006,71.0,10.0,40.0,83.0,60.0,22.0,27.3,24.428571428571427,12.614285714285716,11.735726791289252,
1994-10-31,399.3395469978953,13.169448923906046,2.4592254810706358,520.2532669290002,31.1498784,55.666666666666664,18.257142857142856,30.442857142857147,27.714285714285715,,47.0,10.0,35.0,82.0,65.0,28.0,1.0,summ,454.53555645228965,-1.3816776240644928,2.8477884937398565,45.62200732200001,83.23395839999996,68.0,17.0,28.0,62.0,84.0,51.0,27.3,24.428571428571427,12.614285714285716,11.735726791289252,
1995-04-30,493.29026440788186,1.4339127464711396,3.0276808572909295,48.56086335100001,134.55227520000008,125.6846153846154,,,,,73.0,18.0,37.0,56.0,93.0,53.0,47.0,wint,399.3395469978953,13.169448923906046,2.4592254810706358,520.2532669290002,31.1498784,47.0,10.0,35.0,82.0,65.0,28.0,30.442857142857147,27.714285714285715,18.257142857142856,13.169448923906046,
1995-10-31,471.4667623748229,13.785008410556594,2.737713690155889,527.4951735139999,40.53991679999999,75.50588235294119,21.883333333333336,29.45,25.833333333333332,,71.0,13.0,31.0,72.0,80.0,41.0,0.0,summ,493.29026440788186,1.4339127464711396,3.0276808572909295,48.56086335100001,134.55227520000008,73.0,18.0,37.0,56.0,93.0,53.0,30.442857142857147,27.714285714285715,18.257142857142856,13.169448923906046,
1996-04-30,142.46549978261908,-2.167426535005932,2.315509697729096,40.06407079299999,29.137449600000018,123.02666666666666,,,,,32.0,0.0,37.0,81.0,51.0,24.0,112.0,wint,471.4667623748229,13.785008410556594,2.737713690155889,527.4951735139999,40.53991679999999,71.0,13.0,31.0,72.0,80.0,41.0,29.45,25.833333333333332,21.883333333333336,13.785008410556594,
1996-10-31,459.8804024212178,12.87678414767512,2.698542903857038,508.8683389420001,49.77072,107.78399999999999,21.3,31.283333333333335,17.666666666666668,4.8,63.0,15.0,32.0,64.0,82.0,36.0,0.0,summ,142.46549978261908,-2.167426535005932,2.315509697729096,40.06407079299999,29.137449600000018,32.0,0.0,37.0,81.0,51.0,24.0,29.45,25.833333333333332,21.883333333333336,13.785008410556594,
1997-04-30,312.00641335219365,0.15499097233071032,2.95784948534282,52.41919679499999,83.35612800000001,80.62608695652175,,,,,52.0,10.0,30.0,60.0,83.0,52.0,69.0,wint,459.8804024212178,12.87678414767512,2.698542903857038,508.8683389420001,49.77072,63.0,15.0,32.0,64.0,82.0,36.0,31.283333333333335,17.666666666666668,21.3,12.87678414767512,4.8
1997-10-31,434.0646631180661,13.967991497012079,2.237513985876802,544.3867578359999,26.80957439999998,45.54615384615385,23.066666666666666,29.416666666666668,19.0,2.82,59.0,14.0,52.0,91.0,61.0,17.0,4.0,summ,312.00641335219365,0.15499097233071032,2.95784948534282,52.41919679499999,83.35612800000001,52.0,10.0,30.0,60.0,83.0,52.0,31.283333333333335,17.666666666666668,21.3,12.87678414767512,4.8
1998-04-30,405.19303526518763,1.5748026184291781,2.529713984840159,53.75195416500001,86.94120960000005,62.916666666666664,,,,,74.0,7.0,41.0,80.0,73.0,31.0,63.0,wint,434.0646631180661,13.967991497012079,2.237513985876802,544.3867578359999,26.80957439999998,59.0,14.0,52.0,91.0,61.0,17.0,29.416666666666668,19.0,23.066666666666666,13.967991497012079,2.82
