"date","obs_psl","ERA5_psl","psl_1","psl_2","psl_3","psl_4","psl_5","psl_6","psl_7","psl_8","psl_9","psl_10","psl_11","psl_12","psl_13","psl_14","psl_15","psl_16","psl_17","psl_18","psl_19","psl_20","psl_21","psl_22","psl_23","psl_24","psl_25"
2008-01-20,NA,99086.9508723994,97984.1814497216,99342.6641294555,98980.4165382111,99036.3956272829,99345.9003555061,98395.3627178776,98386.3763228054,99197.0890376377,98939.6607393119,99233.8660791231,98531.9279049102,98806.3404840038,99252.7610163309,98430.2909336047,99177.9713165948,98855.6455071917,98764.8663393443,99571.6782771367,99067.4479429667,99137.9539188298,99067.2837555418,98680.1041929867,98247.6101926007,99287.9190346221,98809.2152697777
2008-01-21,NA,99252.0478443311,99371.6047191031,99201.0745750973,98812.9522479015,98543.9063482823,98974.4645432235,99255.9943811739,98530.1799496519,99309.0965321908,98915.8505204332,98856.9368188994,98575.3617943109,98313.0703088147,98921.4741869694,98569.5318068317,99020.8382563556,99113.2698488639,98856.9368188994,100055.284555205,99101.6636139905,99429.9773317703,99499.2116655022,98727.6412237559,98425.8411675095,98932.4461367857,98981.7794152637
2008-01-22,NA,99362.0682164672,99650.1063910406,98752.1752115435,99172.7663997129,97787.9846980483,98635.3522762152,99340.943558223,98719.8372413667,99121.8347978258,98943.5783348084,98445.2166457952,98939.2746154012,98706.6668684033,98711.6629161822,98589.2690372943,98822.9835556248,99246.6557739035,99338.3731373379,99831.0532200768,98825.4144218679,98823.8636673624,99107.8308648612,98722.9293312468,98469.1113075302,98642.4998033609,99205.5266140953
2008-01-23,NA,99318.1680094964,99248.3871285582,98642.4998033609,99538.3179525734,97949.4401114888,98573.3841768829,99001.8182170322,98815.7403538873,98635.0111441076,99134.3857508008,98655.9126040127,98925.5515676928,98759.7562181216,98869.5729402304,98408.3822620186,98645.61334095,99187.1574493078,99216.5610064754,99401.1968692,98613.4749243211,98400.8641155184,98496.2057673577,98382.3547414979,98909.4353591873,98827.9057136029,99238.8837397875
2008-01-24,NA,99254.8826810417,99240.8165575965,98402.2439012171,99111.8647155341,98050.6478539326,98853.7029512066,99156.7914528284,99546.4429682661,98344.1824751388,98793.1401598201,98916.0683385946,98796.280693499,98392.506638473,98823.4364091345,99064.7097588655,98693.3992721396,99140.2201072311,99204.181774048,99175.5401185464,98435.5850027248,98690.9773788778,98343.0568450696,98827.4203623942,99081.6597573108,98839.3649228041,99007.5550802024
2008-01-25,NA,98916.4682191201,98813.0308537894,98049.657113502,98361.7190547864,97984.1814497216,99051.9343588165,99100.6466679204,98948.6638890787,98631.346303772,98739.6373307683,98928.5768549539,98626.3595767821,98513.0778353367,98642.1160273018,98759.7562181216,98694.771830092,98997.3596284324,99171.8691766717,98968.3039803201,98407.7504024197,99287.8615449187,99013.2276691326,99065.0077980901,98430.3852539977,98489.5589180243,99035.978860033
2008-01-26,NA,98720.8382638527,98235.4030268127,98747.4835658349,98209.6303677733,98892.517915712,98647.5130221709,99010.065441751,98434.569286993,98562.1637551947,98744.0011966342,98811.9679898166,98264.9536634251,99549.4978654764,98408.3407823422,98089.4175778289,98637.8323604962,98558.0279495163,98956.0589563373,98865.8518178455,98436.3880183076,99221.8360710662,99436.235783559,98589.2690372943,98313.0703088147,98600.0640311019,98849.6638941334
2008-01-27,NA,99068.8186495758,98754.5930907959,98990.3140753266,98538.8678872364,98468.0944413465,98269.7361762922,98877.4825216014,98686.0271266111,98983.4597185761,98325.455432942,98819.3475776842,98049.657113502,99763.0220789575,98687.2312996231,97838.9693234757,98874.4021489336,98284.0944747878,98747.4835658349,98925.7158311522,98626.3633490252,98778.0313631374,99514.9896270678,98209.6303677733,99091.3929738286,99139.4373139448,98632.9707922273
2008-01-28,NA,99185.7244652786,98623.1590799769,98672.8522053052,99037.7635909347,98375.9770818021,98725.7557901101,98621.8714894969,98981.0499004311,99419.0207901596,97928.1391282372,99048.900920198,98430.2909336047,99815.3885763538,98793.833495183,98259.6235143887,99188.2321597556,98511.5716262362,99414.8248614255,98670.2332021755,98476.5577377735,98624.1887191847,99152.4257484998,98373.5658172576,99532.2315474824,99511.918116908,98484.3569001255
2008-01-29,NA,99187.0682664505,97703.7950599287,98695.6944165603,99259.3156132319,97949.4167396643,99016.3591177638,98504.1816017658,99066.3198164027,99437.2078347036,98267.9879629865,98956.3585274897,98745.3502919979,99965.3180223372,98344.0127974697,98778.0313631374,98908.1525220019,98488.6437826971,99329.3971141586,98667.9732153381,98050.0617757864,98654.8006260319,98739.9051495076,99203.0687199365,99579.2494574117,99517.4227377567,98258.5297136574
