"date","obs_petH","ERA5_petH","petH_1","petH_2","petH_3","petH_4","petH_5","petH_6","petH_7","petH_8","petH_9","petH_10","petH_11","petH_12","petH_13","petH_14","petH_15","petH_16","petH_17","petH_18","petH_19","petH_20","petH_21","petH_22","petH_23","petH_24","petH_25"
2001-08-13,NA,1.78786201933036,1.30906357879,1.80688701820473,0.979079710409588,1.629050527785,1.75781163849764,1.94903842475932,1.35532423699536,1.33985753048403,1.19406716189615,1.87810587409667,1.64248417143549,0.94042926232295,2.10003558423448,1.63086584713632,2.27701017723062,1.6153316628281,1.25131157836131,1.03721927324267,1.21204757867938,1.14727481195043,1.63129603188679,1.18618302910895,1.49914540869255,1.03604262130727,2.5440881899643
2001-08-14,NA,1.58247902683173,1.62423535281909,1.31969039373226,1.26865368484182,1.9000567993214,1.74218799518341,1.87736888810581,1.30836755664321,1.33018665538589,1.42110225791938,1.50866133085818,2.17962253475213,1.480487180845,2.0939708009188,1.45497086896578,2.23051983930415,2.04940444325449,1.31511195183859,1.26965462477166,1.19541033035763,1.54533986220964,1.62340579208138,1.67450941093846,1.36617858456667,1.52568672156587,1.89135848484085
2001-08-15,NA,1.54464064674978,1.83431408129333,1.35627410215795,1.46368498382521,2.01872898233438,2.50567144049656,2.34157169296746,1.11020443175721,1.22730795010915,2.07017049223728,0.938465252604225,1.63369808126321,1.13127621726144,2.13432071576971,1.69075268650385,2.40727892842525,2.10567906358469,1.86306468942349,1.33958573390312,1.05754095296625,1.57081852408156,1.33884019503922,1.06170649902171,1.44087806207945,1.79725182601143,2.1554260701667
2001-08-16,NA,1.67925800854517,1.07545591296495,0.967648428205666,1.00238338771313,2.05745048096075,2.28460540627632,1.23795979716468,1.16861978861806,1.56767823421815,1.31421241138425,1.21722012646728,1.01851726822916,1.29985298056847,2.05751568891699,1.74297751310989,1.85813757266976,1.76741274049114,1.78671346687334,1.50728788998908,1.13602557316083,1.86436479650084,1.59937949257516,0.996864176251586,0.933683026762342,0.939817007685722,1.87810587409667
2001-08-17,NA,1.18246851839158,1.16067785928822,1.16717815209883,1.25522472107347,1.6153316628281,1.23310403692788,1.36617858456667,1.65292468474655,1.79536507840632,1.35631770952293,1.72225823048303,0.966319518229907,1.48636321649102,2.53929382045901,1.37834471257892,1.97010598079213,1.37089463313489,1.86302837159579,1.08075892681365,1.27226234088647,2.43307484871298,1.00302667731217,1.01509719795819,1.25911197634912,1.01201124103716,1.75781163849764
2001-08-18,NA,1.11818497581866,1.51843049438525,1.52356614147634,1.60510979222475,1.18988463094296,1.44325248623047,1.68045904566383,1.56153467495062,1.70631798296005,1.62755354824109,1.84022446714454,1.63049410227606,1.44638237425807,1.78491094149106,1.30484196936864,2.09667819649598,1.18259976227764,1.69854727955476,1.23017925913634,1.38423262032122,1.72560081024966,1.13009446146344,1.03883141945532,1.75229238485534,1.30389768806584,1.26112103934768
2001-08-19,NA,1.30567826336156,1.90341965858066,1.80504625255348,1.58393017449661,1.55143097105169,1.43086354926676,1.68283483467804,1.57504651049084,1.7837338450573,1.54572424991794,1.5894274728742,1.64248417143549,2.1011999773614,1.26268450751086,1.41772470538404,2.69348357644346,1.77574566546708,2.15113722340564,1.11537854002562,1.63039081038277,1.44562976965188,1.56309322897376,1.0902774379287,1.84397195487607,1.35961255130204,1.84868273483199
2001-08-20,NA,1.29962634561312,1.13352486282013,1.08823882786968,1.29176648291126,1.45793276713194,1.74023587527428,2.01751304479297,1.7042552707547,1.95175604267095,1.575180092972,1.4644606400282,1.05853209090319,1.42110225791938,1.6413489637306,1.46368498382521,1.33834699769863,2.34157169296746,2.27701017723062,1.16616841339446,1.58079232385224,2.12612307801982,1.60136403865479,1.79725182601143,1.57081852408156,2.34931136068029,1.20590402469564
2001-08-21,NA,1.24337404656692,1.22288003324122,1.59117960225235,1.45793276713194,1.89135848484085,1.55907485058498,2.20490388867747,1.63049410227606,2.15113722340564,1.73001904415602,1.67374257822504,1.27451690527928,1.97010598079213,1.63371084729799,1.828443092151,1.29238048324576,1.35831899460842,2.31431584670479,1.5262714926561,1.74004852221697,2.1772745996186,1.28051355773875,1.54572424991794,1.04360216068,1.74978684963575,1.21673439667092
2001-08-22,NA,1.50068746410516,1.57078710178602,1.30284170017505,1.95374185064639,1.60083779841289,1.97825354282844,2.00176655330466,1.88196966373076,2.02820922860151,2.15882340308789,1.97984122126988,1.74229900440663,1.32406271994941,1.71260721069182,2.08783868626063,1.33602322991244,1.48192590034663,2.5440881899643,1.46305008957513,2.07250809094673,1.27995087418245,1.74448388803429,1.7837338450573,1.07166882147658,1.03952673867099,1.38715039286874
